,BG_mu_critical,BG_avg_clustering_coef,BG_avg_shortest_path_len,BG_No_of_communities,BG_modularity,BG_num_loops,BG_avg_cycle_len,BG_loops_per_edge,BG_Omega
79,0.259,0.3784126984126984,2.4571428571428573,3.0,0.2592592592592593,251.0,8.912350597609562,0.09762738234150137,0.014475749186214304
80,0.259,0.26999999999999996,2.7333333333333334,2.0,0.2534435261707989,24.0,5.666666666666667,0.007416563658838072,0.14060554323725066
81,0.261,0.3541666666666667,2.370833333333333,3.0,0.30078895463510846,82.0,7.597560975609756,0.018968309044644922,0.08413371678116854
82,0.23199999999999998,0.26153846153846155,2.3141025641025643,2.0,0.17793367346938782,21.0,6.238095238095238,0.004916881292437368,0.27039751893535824
83,0.259,0.3464285714285714,1.1483516483516483,2.0,0.26904296875,4.0,3.25,0.0011554015020219526,0.8732757074504446
84,0.26,0.32738095238095244,1.6758241758241759,3.0,0.24557752341311131,16.0,6.25,0.005385392123864019,0.43478642935206846
85,0.26,0.3397435897435897,3.2115384615384617,3.0,0.2935528120713306,21.0,6.619047619047619,0.005107003891050584,-0.08023489915274329
86,0.259,0.35833333333333334,1.2582417582417582,3.0,0.3271683673469389,2.0,3.0,0.0009332711152589828,0.7203515733756783
87,0.259,0.29999999999999993,2.6923076923076925,3.0,0.23799725651577502,15.0,5.6,0.0037660055234747677,0.0956831688311689
88,0.24,0.46139455782312927,2.456043956043956,3.0,0.2988980716253444,105.0,7.580952380952381,0.0368809272918862,-0.136086041679637
89,0.259,0.31025641025641026,1.0064102564102564,3.0,0.2723214285714286,3.0,3.3333333333333335,0.001053001053001053,1.1510429136044422
90,0.238,0.37636054421768705,0.978021978021978,3.0,0.22145328719723184,2.0,3.5,0.0006180469715698393,1.0806377643437357
91,0.253,0.23809523809523808,1.7747252747252746,2.0,0.23333333333333328,9.0,5.666666666666667,0.004136029411764706,0.5397233441893505
92,0.261,0.3802721088435374,1.2417582417582418,3.0,0.25244140625,6.0,3.6666666666666665,0.0014695077149155032,0.6986735108717662
93,0.247,0.3680555555555556,1.9015151515151516,3.0,0.2168,9.0,4.111111111111111,0.00394563787812363,0.2385789174614672
94,0.247,0.3840136054421769,2.565934065934066,3.0,0.25830078125,16.0,5.125,0.007095343680709534,-0.025492465413652354
95,0.252,0.3055555555555556,1.2575757575757576,3.0,0.2264,5.0,3.6,0.001235483073881888,0.8170376974564926
96,0.25,0.30357142857142855,1.7142857142857142,4.0,0.21166666666666667,11.0,4.636363636363637,0.0030649205906937865,0.45496694805194815
97,0.244,0.23452380952380952,0.9560439560439561,4.0,0.18192627824019028,1.0,4.0,0.0004170141784820684,1.3790958322137632
98,0.255,0.39747023809523807,1.8958333333333333,2.0,0.2866535174227482,45.0,5.488888888888889,0.012545302481182047,0.18781826839826854
99,0.257,0.3869047619047619,2.4835164835164836,3.0,0.26951331496786046,73.0,8.0,0.03257474341811691,-0.008424530896831817
